EmployeeID,Age,Department,Location,Salary,SatisfactionScore,PerformanceScore,InnovationIndex,RetentionRisk,NeurodiversityStatus
1,58,Marketing,Montreal,156208,5.363,6.751,78.972,0.708,Neurotypical
2,48,Audio,London,77398,4.646,5.013,5.245,0.642,Neurodiverse
3,34,Production,Berlin,158025,6.346,3.83,84.247,0.082,Neurodiverse
4,62,Game Design,Tokyo,59324,2.509,6.515,28.13,0.648,Neurotypical
5,27,Quality Assurance,Montreal,57432,1.959,2.298,65.492,0.067,Neurodiverse
6,40,Production,Vancouver,154260,4.119,6.658,68.567,0.918,Neurotypical
7,58,Art & Animation,London,70867,1.359,1.108,69.641,0.854,Neurotypical
8,38,Art & Animation,Stockholm,84359,4.398,2.3,57.952,0.023,Neurotypical
9,42,Audio,Montreal,119943,7.043,7.371,11.324,0.214,Neurotypical
10,30,Art & Animation,Los Angeles,80971,8.309,8.866,11.17,0.569,Neurodiverse
11,30,Marketing,Tokyo,100759,6.218,1.68,14.096,0.045,Neurodiverse
12,43,Marketing,Montreal,86492,7.222,6.749,92.092,0.91,Neurotypical
13,55,Game Design,Stockholm,141827,8.498,1.557,21.043,0.899,Neurotypical
14,59,Game Design,Paris,103006,7.958,8.911,15.306,0.169,Neurotypical
15,43,Production,Vancouver,91069,3.88,4.525,98.846,0.921,Neurotypical
16,22,Game Design,Shanghai,127905,6.161,7.671,0.438,0.703,Neurotypical
17,41,Marketing,Seoul,80291,3.384,2.555,77.668,0.462,Neurotypical
18,21,Management,Tokyo,67152,6.187,8.752,84.519,0.459,Neurotypical
19,43,Programming,Berlin,115674,4.834,4.863,66.213,0.315,Neurotypical
20,63,Programming,Los Angeles,99372,4.355,2.88,97.486,0.586,Neurotypical
21,49,Game Design,Montreal,103079,2.652,6.152,33.34,0.602,Neurotypical
22,57,Game Design,Tokyo,101539,6.056,3.593,8.796,0.17,Neurotypical
23,21,Marketing,Paris,52525,7.564,3.583,24.069,0.484,Neurotypical
24,40,Audio,Vancouver,59637,6.142,2.031,9.917,0.11,Neurodiverse
25,52,Production,Stockholm,98324,1.623,2.925,48.703,0.773,Neurotypical
26,31,Art & Animation,Shanghai,106108,9.319,8.181,96.483,0.795,Neurotypical
27,41,Production,Tokyo,84377,1.049,5.712,51.757,0.856,Neurotypical
28,63,Quality Assurance,Berlin,130069,8.966,4.194,32.537,0.045,Neurotypical
29,44,Programming,Seoul,137363,7.895,9.364,90.63,0.666,Neurotypical
30,46,Management,Seoul,110207,1.869,8.176,61.338,0.876,Neurotypical
31,61,Programming,Shanghai,72368,3.129,3.792,93.0,0.335,Neurodiverse
32,47,Marketing,Los Angeles,75736,4.141,1.997,96.517,0.792,Neurotypical
33,35,Production,Berlin,67753,9.193,2.659,93.665,0.006,Neurotypical
34,34,Management,Paris,146242,9.819,7.077,69.219,0.665,Neurotypical
35,63,Marketing,Berlin,53571,1.785,6.068,50.183,0.241,Neurotypical
36,22,Quality Assurance,Paris,76798,4.572,9.827,29.017,0.078,Neurotypical
37,56,Management,Los Angeles,83256,2.344,1.121,94.134,0.5,Neurodiverse
38,26,Production,Paris,151844,3.506,8.891,54.5,0.367,Neurodiverse
39,40,Management,Vancouver,97419,9.83,1.128,99.538,0.597,Neurotypical
40,28,Quality Assurance,Berlin,126595,9.86,4.823,91.829,0.856,Neurotypical
41,58,Game Design,Stockholm,142539,5.249,9.249,37.873,0.392,Neurotypical
42,37,Production,Stockholm,141989,2.648,6.926,87.539,0.927,Neurotypical
43,23,Quality Assurance,Montreal,80624,5.923,6.25,53.475,0.268,Neurotypical
44,44,Art & Animation,Berlin,59056,3.886,3.821,74.262,0.778,Neurotypical
45,33,Art & Animation,Los Angeles,113279,9.359,9.695,48.094,0.641,Neurotypical
46,28,Programming,Berlin,68564,8.364,2.514,98.939,0.515,Neurodiverse
47,45,Art & Animation,Seoul,61220,3.78,3.429,39.888,0.449,Neurotypical
48,21,Production,Vancouver,61290,1.165,5.077,9.579,0.914,Neurotypical
49,39,Art & Animation,Seoul,102480,9.982,2.137,85.823,0.648,Neurotypical
50,47,Art & Animation,Tokyo,70018,7.15,4.812,75.614,0.361,Neurotypical
51,26,Management,London,105138,4.832,1.354,12.618,0.552,Neurotypical
52,63,Game Design,Montreal,132155,3.596,9.317,50.481,0.551,Neurotypical
53,27,Programming,Shanghai,131567,1.04,3.899,67.863,0.877,Neurotypical
54,54,Marketing,Tokyo,149292,2.386,6.704,40.981,0.042,Neurotypical
55,33,Programming,Tokyo,133302,1.053,8.835,90.869,0.441,Neurotypical
56,36,Programming,Berlin,59006,6.378,8.365,94.316,0.51,Neurotypical
57,55,Programming,Tokyo,93926,6.97,8.861,86.849,0.152,Neurotypical
58,59,Quality Assurance,London,129118,7.901,7.483,53.08,0.001,Neurotypical
59,23,Marketing,Tokyo,76265,2.683,2.744,45.356,0.002,Neurotypical
60,21,Quality Assurance,Berlin,65908,1.864,4.299,58.503,0.984,Neurotypical
61,25,Game Design,Seoul,121165,6.854,5.608,51.706,0.076,Neurotypical
62,61,Game Design,Tokyo,134406,5.499,4.033,9.872,0.09,Neurotypical
63,23,Audio,Shanghai,68049,8.881,9.597,78.806,0.124,Neurotypical
64,48,Audio,Vancouver,60827,5.799,8.262,94.106,0.989,Neurotypical
65,37,Management,Vancouver,119522,5.003,8.191,49.064,0.745,Neurodiverse
66,45,Game Design,Paris,90954,5.392,4.25,6.155,0.409,Neurodiverse
67,63,Game Design,Montreal,117359,8.041,7.794,32.284,0.987,Neurotypical
68,53,Quality Assurance,London,112934,1.165,6.526,12.259,0.56,Neurotypical
69,29,Management,Stockholm,104980,9.264,4.377,98.041,0.807,Neurotypical
70,55,Game Design,London,104582,7.428,3.775,13.691,0.076,Neurotypical
71,33,Production,Paris,137256,8.968,8.1,8.06,0.939,Neurodiverse
72,50,Marketing,Shanghai,136008,9.636,6.371,52.193,0.953,Neurotypical
73,34,Quality Assurance,Seoul,50610,3.034,1.333,6.502,0.864,Neurotypical
74,27,Game Design,Stockholm,141447,6.205,1.195,63.404,0.161,Neurotypical
75,33,Quality Assurance,Berlin,86636,5.374,8.578,86.905,0.003,Neurotypical
76,42,Quality Assurance,Berlin,136245,5.839,1.808,25.04,0.898,Neurotypical
77,59,Art & Animation,Montreal,61884,1.426,5.674,92.716,0.307,Neurodiverse
78,40,Management,Stockholm,136355,9.226,6.478,64.609,0.363,Neurotypical
79,35,Audio,Berlin,101315,9.592,9.244,16.251,0.47,Neurodiverse
80,64,Management,Montreal,100901,7.166,5.631,64.443,0.318,Neurotypical
81,37,Quality Assurance,Shanghai,153249,3.324,2.746,7.277,0.595,Neurodiverse
82,43,Management,Stockholm,71556,8.085,3.346,34.953,0.403,Neurodiverse
83,45,Programming,Shanghai,96676,7.578,1.44,1.597,0.732,Neurotypical
84,44,Production,Berlin,128758,6.171,2.999,44.157,0.032,Neurodiverse
85,64,Production,Vancouver,136603,2.532,8.336,83.201,0.205,Neurotypical
86,60,Quality Assurance,London,61018,2.811,7.812,69.732,0.915,Neurodiverse
87,48,Programming,London,86599,6.305,1.737,19.878,0.045,Neurodiverse
88,34,Production,Shanghai,117915,2.159,5.316,18.268,0.477,Neurotypical
89,64,Art & Animation,Vancouver,72489,7.515,3.716,70.419,0.181,Neurotypical
90,20,Game Design,Montreal,98071,2.913,6.85,66.622,0.779,Neurotypical
91,44,Quality Assurance,Seoul,62394,9.194,9.652,14.223,0.52,Neurotypical
92,26,Art & Animation,Seoul,64417,9.098,6.676,67.209,0.719,Neurotypical
93,28,Management,Los Angeles,77849,3.642,7.711,78.075,0.829,Neurotypical
94,43,Marketing,Paris,85207,1.75,4.583,76.631,0.751,Neurotypical
95,20,Management,Tokyo,111669,6.503,1.294,40.56,0.409,Neurotypical
96,63,Art & Animation,Los Angeles,74290,5.036,4.763,81.414,0.455,Neurodiverse
97,27,Audio,Seoul,65115,2.293,5.597,38.981,0.655,Neurotypical
